RootNode , b_Root , 0.00, 0.00 ,0.00, -90.00, -0.00 ,0.00
b_Root , Bip01 , -4.22, 5.36 ,95.44, -6.12, 16.88 ,-87.73
Bip01 , b_Hips , 0.00, 0.00 ,0.00, -90.00, -90.00 ,0.00
b_Hips , b_Spine , 9.87, -0.56 ,-0.00, 5.49, 3.97 ,21.11
b_Spine , b_Spine1 , 8.52, -0.01 ,-0.00, 0.33, 2.46 ,0.72
b_Spine1 , b_Spine2 , 8.08, -0.03 ,-0.00, 0.66, 0.44 ,1.42
b_Spine2 , b_Neck , 39.73, 2.08 ,0.00, 0.00, -0.00 ,15.31
b_Neck , b_Head , 10.50, -0.79 ,0.00, -11.96, -0.20 ,-25.76
b_Spine2 , b_LeftClav , 32.05, -0.70 ,4.83, 41.76, -75.64 ,139.10
b_LeftClav , b_LeftArm , 16.19, -0.00 ,0.00, -34.13, 50.80 ,-23.99
b_LeftArm , b_LeftForeArm , 32.18, -0.00 ,0.00, -0.00, -0.00 ,-109.21
b_LeftForeArm , b_LeftHand , 29.40, -0.00 ,0.00, -83.94, -0.25 ,-8.00
b_Spine2 , b_RightClav , 32.05, -0.70 ,-4.83, 79.39, 65.23 ,-101.71
b_RightClav , b_RightArm , 16.19, 0.00 ,-0.00, -53.46, -5.28 ,44.36
b_RightArm , b_RightForeArm , 32.18, 0.00 ,-0.00, -0.00, -0.00 ,-43.26
b_RightForeArm , b_RightHand , 29.40, 0.00 ,0.00, 79.75, -33.14 ,-0.38
b_Hips , b_LeftLegUpper , -0.00, 0.00 ,11.93, 177.45, -13.02 ,152.91
b_LeftLegUpper , b_LeftLeg , 41.81, -0.00 ,0.00, 0.00, 0.00 ,-47.56
b_LeftLeg , b_LeftAnkle , 48.85, 0.00 ,0.00, -1.81, -9.25 ,38.25
b_LeftAnkle , b_LeftToe , 14.97, 25.31 ,-0.00, -0.00, 0.00 ,90.00
b_Hips , b_RightLegUpper , 0.00, -0.00 ,-11.93, -173.82, 2.13 ,135.60
b_RightLegUpper , b_RightLeg , 41.81, 0.00 ,0.00, 0.00, 0.00 ,-133.14
b_RightLeg , b_RightAnkle , 48.85, -0.00 ,0.00, -13.40, -1.00 ,-9.29
b_RightAnkle , b_RightToe , 14.97, 25.31 ,-0.00, 0.00, 0.00 ,90.00
RootNode , ZombieResident_Mesh , 0.00, 0.00 ,0.00, -90.00, -0.00 ,0.00
